Wall time,Step,Value
1651499554.991619,0,22.746000289916992
1651499628.0997903,1,44.275997161865234
1651499701.165635,2,54.189998626708984
1651499774.0080552,3,61.071998596191406
1651499847.9065151,4,67.26300048828125
1651499921.5371203,5,72.99099731445312
1651499997.8142018,6,78.52299499511719
1651500073.7859228,7,84.48699951171875
1651500150.406541,8,89.72000122070312
1651500225.5238967,9,93.8219985961914
1651500300.497496,10,96.45899963378906
1651500375.2608984,11,97.99800109863281
1651500451.1143098,12,98.82599639892578
1651500524.91206,13,99.30400085449219
1651500598.0391848,14,99.39099884033203
1651500670.7710047,15,99.63700103759766
1651500745.962791,16,99.72200012207031
1651500819.513495,17,99.77099609375
1651500893.1899552,18,99.82099914550781
1651500966.8812118,19,99.6510009765625
1651501040.7651176,20,99.50599670410156
1651501114.0150564,21,99.69499969482422
1651501187.9634063,22,99.86399841308594
1651501262.235172,23,99.92900085449219
1651501336.2630284,24,99.95800018310547
1651501408.7608042,25,99.98500061035156
1651501483.6609297,26,99.99199676513672
1651501559.0144103,27,99.99299621582031
1651501633.164195,28,99.9990005493164
1651501707.7230422,29,99.99800109863281
1651501783.0038946,30,100.0
1651501858.1323614,31,100.0
1651501932.694438,32,100.0
1651502007.3513904,33,100.0
1651502081.6825507,34,100.0
1651502156.2852595,35,100.0
1651502230.2311456,36,100.0
1651502304.1647666,37,100.0
1651502377.5583606,38,100.0
1651502451.173331,39,100.0
1651502525.0020175,40,100.0
1651502598.6512365,41,100.0
1651502671.871181,42,100.0
1651502746.161818,43,100.0
1651502820.7406676,44,100.0
1651502894.0719557,45,100.0
1651502967.9928114,46,100.0
1651503042.5864968,47,100.0
1651503117.2771623,48,100.0
1651503192.9350727,49,100.0
1651503267.4711459,50,100.0
1651503342.2593932,51,100.0
1651503415.6234524,52,100.0
1651503490.3801806,53,100.0
1651503564.257528,54,100.0
1651503638.0863056,55,100.0
1651503712.5785165,56,100.0
1651503786.4095623,57,100.0
1651503860.2837136,58,100.0
1651503934.4806068,59,100.0
1651504007.7269409,60,100.0
1651504079.0097938,61,100.0
1651504150.9609082,62,100.0
1651504223.7360568,63,100.0
1651504297.4320478,64,100.0
1651504369.261729,65,100.0
1651504441.6059468,66,100.0
1651504512.9646912,67,100.0
1651504583.9816747,68,100.0
1651504655.323374,69,100.0
1651504727.2084255,70,100.0
1651504798.8732958,71,100.0
1651504870.047443,72,100.0
1651504941.3709748,73,100.0
1651505011.0608816,74,100.0
1651505082.0497198,75,100.0
1651505152.3233235,76,100.0
1651505223.1767502,77,100.0
1651505293.1813118,78,100.0
1651505362.628011,79,100.0
1651505438.0575285,80,100.0
1651505509.4704993,81,100.0
1651505580.2968955,82,100.0
1651505650.3393724,83,100.0
1651505721.5938058,84,100.0
1651505792.1940663,85,100.0
1651505862.1713145,86,100.0
1651505931.6425247,87,100.0
1651506001.117141,88,100.0
1651506071.3884418,89,100.0
